Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
1,Tammy Abraham,eng ENG,FW,Roma,25-013,1997,7.1,2,27,11,40.7,3.81,1.55,0.07,0.18,11.6,0,0,0,4.8,4.8,0.18,-2.8,-2.8,Matches,f586779e
2,Francesco Acerbi,it ITA,DF,Inter,34-247,1988,2.9,0,1,0,0.0,0.35,0.00,0.00,,9.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,b96b595c
3,Yacine Adli,fr FRA,MF,Milan,22-078,2000,0.6,0,2,2,100.0,3.16,3.16,0.00,0.00,17.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,26777636
4,Michel Aebischer,ch SUI,MF,Bologna,25-282,1997,3.0,0,6,1,16.7,1.98,0.33,0.00,0.00,19.2,1,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,f9c927de
5,Felix Afena-Gyan,gh GHA,MFFW,Cremonese,19-269,2003,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0154d290
6,Kevin Agudelo,co COL,MFFW,Spezia,23-335,1998,5.5,0,5,0,0.0,0.91,0.00,0.00,,22.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,46fa7204
7,Ola Aina,ng NGA,DF,Torino,26-007,1996,4.6,0,5,2,40.0,1.09,0.44,0.00,0.00,18.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,246d153b
8,Emanuel Aiwum,at AUT,DF,Cremonese,21-294,2000,5.7,0,3,1,33.3,0.52,0.17,0.00,0.00,14.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,d810c13b
9,Jean-Daniel Akpa-Akpro,ci CIV,MF,Empoli,30-004,1992,0.6,0,1,0,0.0,1.55,0.00,0.00,,21.2,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,fdf4b948
10,Luis Alberto,es ESP,MF,Lazio,30-017,1992,3.9,3,7,5,71.4,1.78,1.27,0.43,0.60,17.6,0,0,0,0.6,0.6,0.08,+2.4,+2.4,Matches,5294a83f
11,Agustín Álvarez Martínez,uy URU,FWMF,Sassuolo,21-149,2001,0.8,1,5,2,40.0,5.92,2.37,0.20,0.50,15.1,0,0,0,0.5,0.5,0.10,+0.5,+0.5,Matches,ab472696
12,Kelvin Amian,fr FRA,DF,Spezia,24-249,1998,0.5,0,2,0,0.0,3.83,0.00,0.00,,15.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,bcc81786
13,Bruno Amione,ar ARG,DF,Hellas Verona,20-285,2002,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2df7cc43
14,Ethan Ampadu,wls WAL,DF,Spezia,22-031,2000,3.4,0,2,1,50.0,0.58,0.29,0.00,0.00,5.0,0,0,0,0.4,0.4,0.20,-0.4,-0.4,Matches,10b9fa99
15,Sofyan Amrabat,ma MAR,MF,Fiorentina,26-055,1996,5.4,0,3,1,33.3,0.56,0.19,0.00,0.00,24.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,5a2cb25d
16,Felipe Anderson,br BRA,FW,Lazio,29-183,1993,7.6,1,9,4,44.4,1.19,0.53,0.11,0.25,13.8,0,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches,9f1893b9
17,Janis Antiste,fr FRA,FW,Sassuolo,20-058,2002,0.6,1,1,1,100.0,1.73,1.73,1.00,1.00,17.0,0,0,0,0.1,0.1,0.13,+0.9,+0.9,Matches,38d9ce53
18,Marcos Antônio,br BRA,MF,Lazio,22-124,2000,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,108fe016
19,Valentin Antov,bg BUL,DF,Monza,21-340,2000,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8f68aa41
20,Marko Arnautović,at AUT,FW,Bologna,33-179,1989,8.6,6,15,6,40.0,1.74,0.69,0.27,0.67,15.2,0,2,2,4.3,2.7,0.18,+1.7,+1.3,Matches,00459419
21,Tolgay Arslan,de GER,MF,Udinese,32-060,1990,2.6,1,5,2,40.0,1.92,0.77,0.20,0.50,18.1,0,0,0,0.5,0.5,0.09,+0.5,+0.5,Matches,963a328b
22,Arthur,br BRA,FW,Fiorentina,24-173,1998,1.4,0,8,0,0.0,5.85,0.00,0.00,,9.5,0,0,0,0.8,0.8,0.10,-0.8,-0.8,Matches,a820e429
23,Santiago Ascacíbar,ar ARG,MF,Cremonese,25-232,1997,4.6,0,7,2,28.6,1.53,0.44,0.00,0.00,26.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,e26fcca3
24,Kristoffer Askildsen,no NOR,MF,Lecce,21-279,2001,3.7,0,6,2,33.3,1.60,0.53,0.00,0.00,25.2,1,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,a69cc629
25,Kristjan Asllani,al ALB,MF,Inter,20-220,2002,1.6,0,3,0,0.0,1.84,0.00,0.00,,28.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,0fdcef0e
26,Emil Audero,it ITA,GK,Sampdoria,25-270,1997,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,649b01d8
27,Tommaso Augello,it ITA,DF,Sampdoria,28-046,1994,8.8,0,1,0,0.0,0.11,0.00,0.00,,18.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,3cd3b384
28,Kaan Ayhan,tr TUR,DF,Sassuolo,27-339,1994,3.1,0,1,1,100.0,0.33,0.33,0.00,0.00,33.5,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,2200181e
29,Jaime Báez,uy URU,DF,Cremonese,27-173,1995,1.1,0,2,0,0.0,1.87,0.00,0.00,,23.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,dfd24c07
30,Nedim Bajrami,al ALB,MFFW,Empoli,23-229,1999,5.2,1,12,2,16.7,2.29,0.38,0.08,0.50,24.0,3,0,0,0.7,0.7,0.06,+0.3,+0.3,Matches,f42d6c13
31,Tommaso Baldanzi,it ITA,MF,Empoli,19-206,2003,1.4,1,3,2,66.7,2.13,1.42,0.33,0.50,19.5,0,0,0,0.2,0.2,0.08,+0.8,+0.8,Matches,102e2599
32,Fodé Ballo-Touré,sn SEN,DF,Milan,25-285,1997,1.2,1,1,1,100.0,0.85,0.85,1.00,1.00,9.1,0,0,0,0.2,0.2,0.24,+0.8,+0.8,Matches,f449640d
33,Lameck Banda,zm ZAM,MFFW,Lecce,21-259,2001,6.8,0,13,3,23.1,1.92,0.44,0.00,0.00,20.5,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches,8a6de8c7
34,Filippo Bandinelli,it ITA,MF,Empoli,27-200,1995,6.6,2,9,4,44.4,1.36,0.60,0.22,0.50,21.1,0,0,0,1.1,1.1,0.13,+0.9,+0.9,Matches,d44360be
35,Antonín Barák,cz CZE,MF,Fiorentina,27-316,1994,5.7,0,7,0,0.0,1.24,0.00,0.00,,20.0,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,01efac19
36,Antonín Barák,cz CZE,MF,Hellas Verona,27-316,1994,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,01efac19
37,Andrea Barberis,it ITA,MF,Monza,28-308,1993,2.9,0,2,0,0.0,0.69,0.00,0.00,,24.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,32ebfe1e
38,Nicolò Barella,it ITA,MF,Inter,25-250,1997,8.5,2,8,4,50.0,0.95,0.47,0.25,0.50,20.3,1,0,0,0.4,0.4,0.05,+1.6,+1.6,Matches,6928979a
39,Musa Barrow,gm GAM,FWMF,Bologna,23-335,1998,3.6,1,17,3,17.6,4.78,0.84,0.06,0.33,23.5,0,0,0,1.0,1.0,0.06,0.0,0.0,Matches,e5bf73f3
40,Federico Baschirotto,it ITA,DF,Lecce,26-025,1996,9.0,0,6,0,0.0,0.67,0.00,0.00,,8.7,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches,5a08ee41
41,Toma Bašić,hr CRO,MF,Lazio,25-324,1996,1.5,0,3,3,100.0,1.96,1.96,0.00,0.00,23.7,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches,80556f08
42,Alessandro Bastoni,it ITA,DF,Inter,23-185,1999,5.5,0,3,2,66.7,0.54,0.36,0.00,0.00,16.0,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches,75b86fb3
43,Simone Bastoni,it ITA,MFDF,Spezia,25-344,1996,7.7,2,10,2,20.0,1.30,0.26,0.20,1.00,23.6,0,0,0,0.4,0.4,0.04,+1.6,+1.6,Matches,1ac232b8
44,Rodrigo Becão,br BRA,DF,Udinese,26-269,1996,8.0,1,6,1,16.7,0.75,0.12,0.17,1.00,6.7,0,0,0,0.7,0.7,0.11,+0.3,+0.3,Matches,19e4eab9
45,Julius Beck,dk DEN,MF,Spezia,17-171,2005,0.1,0,0,0,,0.00,0.00,,,,,0,0,,,,,,Matches,e892c325
46,Raoul Bellanova,it ITA,DF,Inter,22-151,2000,0.4,0,1,0,0.0,2.50,0.00,0.00,,12.6,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches,e3756e72
47,Andrea Belotti,it ITA,FW,Roma,28-299,1993,1.9,0,3,2,66.7,1.58,1.05,0.00,0.00,11.2,0,0,0,0.5,0.5,0.16,-0.5,-0.5,Matches,d705ba44
48,Marco Benassi,it ITA,DF,Fiorentina,28-037,1994,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0000acda
49,Ismaël Bennacer,dz ALG,MF,Milan,24-318,1997,7.8,1,5,1,20.0,0.64,0.13,0.20,1.00,25.9,1,0,0,0.1,0.1,0.03,+0.9,+0.9,Matches,db092d3b
50,Domenico Berardi,it ITA,FW,Sassuolo,28-075,1994,3.6,1,12,3,25.0,3.36,0.84,0.08,0.33,26.3,2,0,1,1.2,0.4,0.03,-0.2,+0.6,Matches,53a0e358
51,Bartosz Bereszyński,pl POL,DF,Sampdoria,30-095,1992,6.8,0,1,0,0.0,0.15,0.00,0.00,,16.3,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,61b3978f
52,Beto,gw GNB,FW,Udinese,24-257,1998,4.4,5,12,7,58.3,2.74,1.60,0.42,0.71,9.7,0,0,0,3.8,3.8,0.32,+1.2,+1.2,Matches,ed5c0319
53,Matteo Bianchetti,it ITA,DF,Cremonese,29-212,1993,6.1,1,5,3,60.0,0.82,0.49,0.20,0.33,8.9,0,0,0,0.7,0.7,0.15,+0.3,+0.3,Matches,b3a20f18
54,Jaka Bijol,si SVN,DF,Udinese,23-252,1999,4.4,2,2,2,100.0,0.45,0.45,1.00,1.00,6.8,0,0,0,0.2,0.2,0.08,+1.8,+1.8,Matches,6fdac234
55,Cristiano Biraghi,it ITA,DF,Fiorentina,30-044,1992,6.9,0,5,1,20.0,0.72,0.14,0.00,0.00,29.2,2,0,1,0.9,0.1,0.03,-0.9,-0.1,Matches,9e1577aa
56,Samuele Birindelli,it ITA,DF,Monza,23-088,1999,5.7,0,6,2,33.3,1.05,0.35,0.00,0.00,15.9,0,0,0,0.6,0.6,0.10,-0.6,-0.6,Matches,204ac005
