Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
1,Yunis Abdelhamid,ma MAR,DF,Reims,35-017,1987,10.0,0,8,0,0.0,0.80,0.00,0.00,,12.7,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,32c2d95f
2,Himad Abdelli,fr FRA,MFFW,Angers,22-332,1999,0.6,0,1,0,0.0,1.73,0.00,0.00,,20.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,7978cbf0
3,Salis Abdul Samed,gh GHA,MF,Lens,22-203,2000,10.0,1,6,1,16.7,0.60,0.10,0.17,1.00,22.0,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches,82464ce3
4,Laurent Abergel,fr FRA,MF,Lorient,29-256,1993,9.0,0,4,0,0.0,0.45,0.00,0.00,,22.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,31626657
5,Matthis Abline,fr FRA,FWMF,Rennes,19-201,2003,1.0,1,6,2,33.3,6.21,2.07,0.17,0.50,10.9,0,0,0,0.7,0.7,0.11,+0.3,+0.3,Matches,0e46fa2f
6,Zakaria Aboukhlal,ma MAR,FWMF,Toulouse,22-239,2000,8.6,3,18,6,33.3,2.10,0.70,0.17,0.50,16.6,0,0,0,1.6,1.6,0.09,+1.4,+1.4,Matches,c2a6033c
7,Mohamed Achi,fr FRA,MF,Nantes,20-272,2002,0.4,0,1,0,0.0,2.50,0.00,0.00,,25.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,1e93fc5d
8,Martin Adeline,fr FRA,MF,Reims,18-317,2003,1.0,0,1,0,0.0,0.97,0.00,0.00,,24.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,7587446d
9,Emmanuel Agbadou,ci CIV,DF,Reims,25-120,1997,7.8,0,6,2,33.3,0.77,0.26,0.00,0.00,16.6,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches,75f1ed80
10,Lucien Agoume,fr FRA,MF,Troyes,20-248,2002,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8bc8829a
11,Ruben Aguilar,fr FRA,DF,Monaco,29-172,1993,3.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3dd738a1
12,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,28-209,1994,4.8,0,3,1,33.3,0.63,0.21,0.00,0.00,16.2,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches,48b28bfd
13,Ludovic Ajorque,re REU,FW,Strasbourg,28-232,1994,3.8,1,11,3,27.3,2.92,0.80,0.00,0.00,15.1,1,1,1,1.8,1.0,0.09,-0.8,-1.0,Matches,462475ed
14,Maghnes Akliouche,fr FRA,MFFW,Monaco,20-232,2002,1.9,0,1,1,100.0,0.52,0.52,0.00,0.00,8.1,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches,b625b241
15,Doğan Alemdar,tr TUR,GK,Rennes,19-351,2002,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9e17ccff
16,Jim Allevinah,ga GAB,FWMF,Clermont Foot,27-230,1995,4.8,0,9,2,22.2,1.87,0.42,0.00,0.00,15.6,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches,1956b948
17,Mickaël Alphonse,gp GLP,DF,Ajaccio,33-095,1989,6.8,0,4,0,0.0,0.59,0.00,0.00,,17.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,0a63446f
18,Ibrahim Amadou,fr FRA,MF,Angers,29-192,1993,0.5,0,2,0,0.0,4.39,0.00,0.00,,23.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,9260926b
19,Benjamin André,fr FRA,MF,Lille,32-073,1990,10.5,1,8,1,12.5,0.76,0.10,0.13,1.00,13.0,0,0,0,0.6,0.6,0.07,+0.4,+0.4,Matches,ef9c1c95
20,Komnen Andrić,rs SRB,FW,Clermont Foot,27-106,1995,6.8,2,13,3,23.1,1.92,0.44,0.08,0.33,11.4,0,1,1,2.1,1.3,0.10,-0.1,-0.3,Matches,af3ddb2e
21,Houssem Aouar,fr FRA,MF,Lyon,24-107,1998,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a5db0bec
22,Adil Aouchiche,fr FRA,MF,Lorient,20-092,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b94b8be1
23,Dennis Appiah,fr FRA,DF,Nantes,30-128,1992,6.7,0,5,1,20.0,0.74,0.15,0.00,0.00,19.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,feb5d3ab
24,Lorenz Assignon,tg TOG,DFFW,Rennes,22-115,2000,1.0,0,2,1,50.0,2.02,1.01,0.00,0.00,14.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,b026bbf6
25,Youcef Atal,dz ALG,DF,Nice,26-151,1996,3.9,0,4,2,50.0,1.03,0.52,0.00,0.00,21.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,6a827d8e
26,Mathias Autret,fr FRA,MF,Auxerre,31-228,1991,7.0,2,10,7,70.0,1.44,1.00,0.10,0.14,28.1,0,1,1,1.6,0.9,0.09,+0.4,+0.1,Matches,7dfbba27
27,Cédric Avinel,gp GLP,DF,Ajaccio,36-034,1986,5.1,1,2,1,50.0,0.39,0.20,0.50,1.00,1.6,0,0,0,0.9,0.9,0.68,+0.1,+0.1,Matches,a94d93be
28,Loïc Bade,fr FRA,DF,Rennes,22-187,2000,1.0,0,2,0,0.0,2.00,0.00,0.00,,8.0,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches,114bbdee
29,Benoît Badiashile,fr FRA,DF,Monaco,21-203,2001,7.3,2,5,3,60.0,0.68,0.41,0.40,0.67,15.6,0,0,0,0.4,0.4,0.07,+1.6,+1.6,Matches,06df8256
30,Eric Bailly,ci CIV,DF,Marseille,28-186,1994,1.9,0,1,1,100.0,0.54,0.54,0.00,0.00,11.0,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,a1232f4e
31,Dénys Bain,fr FRA,DF,Auxerre,29-105,1993,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,5065d67d
32,Brandon Baiye,be BEL,MF,Clermont Foot,21-292,2000,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7e3e825e
33,Cédric Bakambu,cd COD,MF,Marseille,31-187,1991,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0af4dcf0
34,Thierno Balde,fr FRA,DF,Troyes,20-127,2002,5.4,0,1,0,0.0,0.19,0.00,0.00,,7.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,3975195f
35,Carlos Baleba,cm CMR,MF,Lille,18-285,2004,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a1390d2f
36,Leonardo Balerdi,ar ARG,DF,Marseille,23-262,1999,8.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7c3ed041
37,Folarin Balogun,eng ENG,FW,Reims,21-104,2001,7.6,6,22,9,40.9,2.88,1.18,0.18,0.44,15.9,1,2,2,5.2,3.6,0.17,+0.8,+0.4,Matches,31822f8c
38,Abdoulaye Bamba,ci CIV,DF,Angers,32-173,1990,3.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7fecbcdb
39,Jonathan Bamba,fr FRA,FW,Lille,26-203,1996,10.8,3,22,8,36.4,2.04,0.74,0.14,0.38,15.7,0,0,0,2.2,2.2,0.11,+0.8,+0.8,Matches,b2bd0f6c
40,Bradley Barcola,fr FRA,FWMF,Lyon,20-043,2002,0.9,0,1,0,0.0,1.11,0.00,0.00,,8.5,0,0,0,0.2,0.2,0.19,-0.2,-0.2,Matches,a0d55a09
41,Melvin Bard,fr FRA,DF,Nice,21-343,2000,8.1,0,2,0,0.0,0.25,0.00,0.00,,18.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,1ddbc7ca
42,Ross Barkley,eng ENG,FWMF,Nice,28-314,1993,1.8,0,4,0,0.0,2.18,0.00,0.00,,24.8,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,3a24769f
43,Mickaël Barreto,fr FRA,MF,Ajaccio,31-270,1991,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e3844ecb
44,Cyrille Bayala,bf BFA,MF,Ajaccio,26-144,1996,6.7,1,10,3,30.0,1.50,0.45,0.10,0.33,14.3,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Matches,20e0dd86
45,Yanis Begraoui,fr FRA,FW,Toulouse,21-103,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,5e6355f8
46,Alexis Beka Beka,fr FRA,MF,Nice,21-200,2001,3.0,0,3,1,33.3,1.00,0.33,0.00,0.00,25.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,4a5e83ad
47,Jérémie Bela,ao ANG,DF,Clermont Foot,29-190,1993,3.6,1,3,2,66.7,0.82,0.55,0.33,0.50,15.9,0,0,0,0.4,0.4,0.12,+0.6,+0.6,Matches,5680bf3f
48,Youcef Belaïli,dz ALG,FWMF,Brest,30-215,1992,4.0,0,9,1,11.1,2.28,0.25,0.00,0.00,15.8,1,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,1a248246
49,Haris Belkebla,dz ALG,MF,Brest,28-260,1994,9.6,1,4,1,25.0,0.42,0.10,0.25,1.00,24.2,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches,2b1bed19
50,Jean-Ricner Bellegarde,fr FRA,MFDF,Strasbourg,24-110,1998,10.4,0,11,2,18.2,1.06,0.19,0.00,0.00,22.9,4,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches,10f0fdd3
51,Wissam Ben Yedder,fr FRA,FW,Monaco,32-064,1990,5.8,4,14,9,64.3,2.42,1.56,0.21,0.33,16.9,1,1,1,2.8,2.0,0.14,+1.2,+1.0,Matches,942b4f90
52,Nabil Bentaleb,dz ALG,MF,Angers,27-325,1994,7.0,1,8,1,12.5,1.14,0.14,0.13,1.00,22.4,1,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches,3189f61a
53,Patrick Berg,no NOR,MFFW,Lens,24-325,1997,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e4114f5d
54,Mitchell van Bergen,nl NED,FWMF,Reims,23-049,1999,3.4,0,8,4,50.0,2.33,1.17,0.00,0.00,15.3,0,0,0,1.2,1.2,0.15,-1.2,-1.2,Matches,0b2c9aec
55,Quentin Bernard,fr FRA,DF,Auxerre,33-100,1989,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3916b09c
56,Paul Bernardoni,fr FRA,GK,Angers,25-180,1997,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,28dabd43
57,Juan Bernat,es ESP,DF,Paris S-G,29-228,1993,3.5,1,2,2,100.0,0.56,0.56,0.50,0.50,12.0,0,0,0,0.2,0.2,0.11,+0.8,+0.8,Matches,433dc9a2
58,Jason Berthomier,fr FRA,MF,Clermont Foot,32-282,1990,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,03e91055
59,El Bilal Touré,ml MLI,FW,Reims,21-012,2001,1.0,0,1,1,100.0,0.99,0.99,0.00,0.00,27.2,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,47c609d5
60,Jean-Claude Billong,cm CMR,DF,Clermont Foot,28-291,1993,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a3e1d20d
